# Calibrator v0.9e
# (by Stefan.Manegold@cwi.nl, http://www.cwi.nl/~manegold/)
000005120 000019.5  008196 040980.0 10245 001812 018.1 058.0  004100 020500.0 05125 001625 016.3 052.0  002052 010260.0 02565 001031 010.3 033.0  001028 005140.0 01285 000843 008.4 027.0
000006144 000016.3  008196 049176.0 12294 002125 021.3 068.0  004100 024600.0 06150 001875 018.8 060.0  002052 012312.0 03078 001218 012.2 039.0  001028 006168.0 01542 000906 009.1 029.0
000008192 000012.2  008196 065568.0 16392 002250 022.5 072.0  004100 032800.0 08200 002250 022.5 072.0  002052 016416.0 04104 001625 016.3 052.0  001028 008224.0 02056 001062 010.6 034.0
000010240 000009.8  008196 081960.0 20490 002250 022.5 072.0  004100 041000.0 10250 002187 021.9 070.0  002052 020520.0 05130 001562 015.6 050.0  001028 010280.0 02570 001156 011.6 037.0
000012288 000008.1  008196 098352.0 24588 002250 022.5 072.0  004100 049200.0 12300 002187 021.9 070.0  002052 024624.0 06156 001625 016.3 052.0  001028 012336.0 03084 001250 012.5 040.0
000016384 000006.1  008196 131136.0 32784 002312 023.1 074.0  004100 065600.0 16400 002187 021.9 070.0  002052 032832.0 08208 001687 016.9 054.0  001028 016448.0 04112 001250 012.5 040.0
000020480 000004.9  008196 163920.0 40980 002250 022.5 072.0  004100 082000.0 20500 002250 022.5 072.0  002052 041040.0 10260 001687 016.9 054.0  001028 020560.0 05140 001281 012.8 041.0
000024576 000004.1  008196 196704.0 49176 002312 023.1 074.0  004100 098400.0 24600 002187 021.9 070.0  002052 049248.0 12312 001750 017.5 056.0  001028 024672.0 06168 001312 013.1 042.0
000032768 000003.1  008196 262272.0 65568 002312 023.1 074.0  004100 131200.0 32800 002187 021.9 070.0  002052 065664.0 16416 001812 018.1 058.0  001028 032896.0 08224 001312 013.1 042.0
000040960 000002.4  008196 327840.0 81960 002312 023.1 074.0  004100 164000.0 41000 002250 022.5 072.0  002052 082080.0 20520 001875 018.8 060.0  001028 041120.0 10280 001312 013.1 042.0
000049152 000002.0  008196 393408.0 98352 002375 023.8 076.0  004100 196800.0 49200 002312 023.1 074.0  002052 098496.0 24624 001875 018.8 060.0  001028 049344.0 12336 001437 014.4 046.0
000065536 000001.5  008196 524544.0 131136 006250 062.5 200.0  004100 262400.0 65600 005500 055.0 176.0  002052 131328.0 32832 002062 020.6 066.0  001028 065792.0 16448 001937 019.4 062.0
